gene_name	cath_superfamily	pdb_id	chromosome	gene_id	genome_accessions
ESYT3	2.60.40.150;		3	83850	{'Reference GRCh38.p14 Primary Assembly': '138434615:138481685', 'Alternate T2T-CHM13v2.0': '141175168:141222246'}
POTEB3	1.25.40.20;		15	102724631	{'Reference GRCh38.p14 Primary Assembly': '21405400:21440498', 'Alternate T2T-CHM13v2.0': '18748386:18783423', 'Reference GRCh38.p14 ALT_REF_LOCI_1': '163347:198438', 'Reference GRCh38.p14 PATCHES': '1961871:2029683'}
IGLC7	2.60.40.10;		22	28834	{'Reference GRCh38.p14 Primary Assembly': '22922593:22922912', 'Alternate T2T-CHM13v2.0': '23345503:23345822', '-': '888749:889068'}
SHTN1	1.20.5.1160;		10	57698	{'Reference GRCh38.p14 Primary Assembly': '116881476:117126585', 'Alternate T2T-CHM13v2.0': '117775789:118020852'}
SLC5A10	1.20.1730.10;		17	125206	{'Reference GRCh38.p14 Primary Assembly': '18950675:19022564', 'Alternate T2T-CHM13v2.0': '18897201:18970457'}
FEZF1	3.30.160.60;		7	389549	{'-': '10972:14419', 'Reference GRCh38.p14 Primary Assembly': '122301302:122310722', 'Alternate T2T-CHM13v2.0': '123617260:123627512'}
CLRN2	1.20.140.150;		4	645104	{'Reference GRCh38.p14 Primary Assembly': '17515164:17527103', 'Alternate T2T-CHM13v2.0': '17496914:17508852'}
ARHGAP10	1.20.1270.60;2.30.29.30;1.10.555.10;2.30.30.40;	2MIO;	4	79658	{'Reference GRCh38.p14 Primary Assembly': '147732087:148072775', 'Alternate T2T-CHM13v2.0': '151056193:151396700'}
IRGM	3.40.50.300;		5	345611	{'-': '4998:7179', 'Reference GRCh38.p14 Primary Assembly': '150846520:150902401', 'Alternate T2T-CHM13v2.0': '151383018:151438899'}
SLC22A23	1.20.1250.20;		6	63027	{'Reference GRCh38.p14 Primary Assembly': '3268972:3457049', 'Alternate T2T-CHM13v2.0': '3137375:3325794'}
PXDNL	6.20.200.20;1.10.640.10;2.60.40.10;3.80.10.10;		8	137902	{'Reference GRCh38.p14 Primary Assembly': '51319576:51809444', 'Alternate T2T-CHM13v2.0': '51692629:52185429'}
ILVBL	3.40.50.970;3.40.50.1220;		19	10994	{'Reference GRCh38.p14 Primary Assembly': '15114986:15125785', 'Alternate T2T-CHM13v2.0': '15239930:15250729'}
UBE2QL1	3.10.110.10;		5	134111	{'Reference GRCh38.p14 Primary Assembly': '6448858:6496722', 'Alternate T2T-CHM13v2.0': '6379224:6427082', 'Reference GRCh38.p14 PATCHES': '152668:200532'}
PLEKHG3	1.20.900.10;2.30.29.30;		14	26030	{'Reference GRCh38.p14 Primary Assembly': '64704423:64750248', 'Alternate T2T-CHM13v2.0': '58912266:58958083'}
SSC5D	3.10.250.10;		19	284297	{'-': '4933:35596', 'Reference GRCh38.p14 Primary Assembly': '55488435:55519098', 'Alternate T2T-CHM13v2.0': '58584708:58615449'}
FSD2	2.60.120.920;3.30.160.60;2.60.40.10;		15	123722	{'Reference GRCh38.p14 Primary Assembly': '82755361:82806068', 'Alternate T2T-CHM13v2.0': '80619625:80670358'}
SH3PXD2B	3.30.1520.10;2.30.30.40;		5	285590	{'-': '4998:126024', 'Reference GRCh38.p14 Primary Assembly': '172325180:172454524', 'Alternate T2T-CHM13v2.0': '172865439:172994532'}
CIBAR1	1.20.1270.60;		8	137392	{'Reference GRCh38.p14 Primary Assembly': '93700549:93731526', 'Alternate T2T-CHM13v2.0': '94825617:94856534'}
MACROD2	3.40.220.10;	4IQY;6Y4Y;6Y4Z;6Y73;	20	140733	{'-': '5016:2062697', 'Reference GRCh38.p14 Primary Assembly': '13995515:16053196', 'Alternate T2T-CHM13v2.0': '14044767:16102639', 'Reference GRCh38.p14 PATCHES': '209124:248431'}
ZC3H12D	3.40.50.11980;		6	340152	{'Reference GRCh38.p14 Primary Assembly': '149446794:149485013', 'Alternate T2T-CHM13v2.0': '150646493:150684729'}
FRMD3	1.20.80.10;2.30.29.30;		9	257019	{'Reference GRCh38.p14 Primary Assembly': '83242991:83585793', 'Alternate T2T-CHM13v2.0': '95392781:95735518'}
HFM1	3.40.50.300;1.10.3380.10;1.10.10.10;		1	164045	{'-': '8169:152240', 'Reference GRCh38.p14 Primary Assembly': '91260765:91408006', 'Alternate T2T-CHM13v2.0': '91105412:91252635'}
NBAS	2.130.10.10;		2	51594	{'-': '4999:399417', 'Reference GRCh38.p14 Primary Assembly': '14778908:15561333', 'Alternate T2T-CHM13v2.0': '14809696:15592930'}
TARS3	3.10.20.30;3.40.50.800;		15	123283	{'Reference GRCh38.p14 Primary Assembly': '101653595:101724472', 'Alternate T2T-CHM13v2.0': '99411599:99482343'}
HYKK	3.90.1200.10;		15	123688	{'Reference GRCh38.p14 Primary Assembly': '78507576:78537372', 'Alternate T2T-CHM13v2.0': '76370248:76400047'}
TYW5	6.10.140.1470;2.60.120.650;	3AL5;3AL6;	2	129450	{'Reference GRCh38.p14 Primary Assembly': '199928912:199955490', 'Alternate T2T-CHM13v2.0': '200412543:200439115'}
MYBPHL	2.60.40.10;		1	343263	{'-': '5030:19676', 'Reference GRCh38.p14 Primary Assembly': '109292364:109307010', 'Alternate T2T-CHM13v2.0': '109325167:109339816'}
TMEM131L	2.60.40.10;		4	23240	{'Reference GRCh38.p14 Primary Assembly': '153466359:153636710', 'Alternate T2T-CHM13v2.0': '156790799:156961148'}
SSPOP	2.10.70.10;2.60.120.260;2.10.25.10;4.10.400.10;2.20.100.10;		7	23145	{'Reference GRCh38.p14 Primary Assembly': '149776041:149833964', 'Alternate T2T-CHM13v2.0': '150957941:151015872'}
VWA8	3.40.50.300;3.40.50.410;		13	23078	{'Reference GRCh38.p14 Primary Assembly': '41566834:41961108', 'Alternate T2T-CHM13v2.0': '40785955:41180364'}
LAMB4	2.60.120.260;2.10.25.10;2.170.300.10;		7	22798	{'Reference GRCh38.p14 Primary Assembly': '108011661:108130360', 'Alternate T2T-CHM13v2.0': '109329906:109448506'}
GTPBP10	2.70.210.12;3.40.50.300;	7OI6;	7	85865	{'Reference GRCh38.p14 Primary Assembly': '90346715:90391452', 'Alternate T2T-CHM13v2.0': '91595007:91639741'}
WDR91	2.130.10.10;	6VYC;8SHJ;8T55;	7	29062	{'Reference GRCh38.p14 Primary Assembly': '135183838:135211525', 'Alternate T2T-CHM13v2.0': '136491700:136519382'}
PRSS37	2.40.10.10;		7	136242	{'Reference GRCh38.p14 Primary Assembly': '141836277:141841484', 'Alternate T2T-CHM13v2.0': '143152099:143157306'}
CDC14C	3.90.190.10;		7	168448	{'Reference GRCh38.p14 Primary Assembly': '48924546:48927453', 'Alternate T2T-CHM13v2.0': '49085417:49088323'}
MBLAC1	3.60.15.10;	4V0H;	7	255374	{'Reference GRCh38.p14 Primary Assembly': '100126966:100128494', 'Alternate T2T-CHM13v2.0': '101366817:101368345', '-': '3675:5203'}
PMS2P1	3.30.565.10;		7	5379	
EME2	3.40.50.10130;1.10.150.670;	7F6L;	16	197342	{'Reference GRCh38.p14 Primary Assembly': '1772809:1781701', 'Alternate T2T-CHM13v2.0': '1788643:1797537'}
POTEF	3.30.420.40;1.25.40.20;		2	728378	{'Reference GRCh38.p14 Primary Assembly': '130073534:130129221', 'Alternate T2T-CHM13v2.0': '130496741:130563301', 'Reference GRCh38.p14 PATCHES': '241400:305917'}
CLEC18A	3.40.33.10;2.10.25.10;3.10.100.10;		16	348174	{'Reference GRCh38.p14 Primary Assembly': '69943518:69966622', 'Alternate T2T-CHM13v2.0': '75749364:75773414'}
VPS37C	1.10.287.660;		11	55048	{'Reference GRCh38.p14 Primary Assembly': '61130256:61161425', 'Alternate T2T-CHM13v2.0': '61081749:61112917'}
CFAP69	1.25.10.10;		7	79846	{'Reference GRCh38.p14 Primary Assembly': '90245173:90323722', 'Alternate T2T-CHM13v2.0': '91493481:91569215'}
PSMB11	3.60.20.10;		14	122706	{'Reference GRCh38.p14 Primary Assembly': '23042211:23044059', 'Alternate T2T-CHM13v2.0': '17242831:17244679'}
PSD	1.10.1000.11;2.30.29.30;		10	5662	{'Reference GRCh38.p14 Primary Assembly': '102402618:102419945', 'Alternate T2T-CHM13v2.0': '103287567:103304909'}
HTR3E	2.70.170.10;1.20.58.390;		3	285242	{'-': '1885:11816', 'Reference GRCh38.p14 Primary Assembly': '184097063:184106994', 'Alternate T2T-CHM13v2.0': '186906627:186916554'}
CNOT1	1.25.40.180;1.25.40.790;1.25.40.800;1.25.40.840;	4C0D;4CQO;4CRU;4CRV;4CRW;4CT4;4CT6;4CT7;4GMJ;4GML;4J8S;5ANR;5FU6;5FU7;5ONA;7VOI;8BFI;8FY3;	16	23019	{'Reference GRCh38.p14 Primary Assembly': '58519950:58629825', 'Alternate T2T-CHM13v2.0': '64315183:64422343'}
CARNS1	3.40.50.20;3.30.470.20;		11	57571	{'Reference GRCh38.p14 Primary Assembly': '67415677:67425603', 'Alternate T2T-CHM13v2.0': '67409792:67419718'}
MEGF11	2.10.25.10;2.170.300.10;		15	84465	{'Reference GRCh38.p14 Primary Assembly': '65895298:66253749', 'Alternate T2T-CHM13v2.0': '63704722:64075392', 'Reference GRCh38.p14 ALT_REF_LOCI_1': '849:357704'}
CCDC88B	1.10.418.10;		11	283234	{'Reference GRCh38.p14 Primary Assembly': '64340203:64357533', 'Alternate T2T-CHM13v2.0': '64330212:64347538'}
NKX2-6	1.10.10.60;		8	137814	{'-': '4842:9858', 'Reference GRCh38.p14 Primary Assembly': '23701739:23706755', 'Alternate T2T-CHM13v2.0': '23976697:23981713'}
FAM83G	3.30.870.10;		17	644815	{'Reference GRCh38.p14 Primary Assembly': '18968788:19006115', 'Alternate T2T-CHM13v2.0': '18915279:18952621'}
RBMY1B	3.30.70.330;		Y	378948	{'Reference GRCh38.p14 Primary Assembly': '21511337:21527215', 'Alternate T2T-CHM13v2.0': '22386599:22402466'}
PGP	3.40.50.1000;		16	283871	{'Reference GRCh38.p14 Primary Assembly': '2211592:2214839', 'Alternate T2T-CHM13v2.0': '2234050:2237301'}
RCCD1	2.130.10.30;	6F4R;6F4S;6F4T;	15	91433	{'Reference GRCh38.p14 Primary Assembly': '90954883:90963124', 'Alternate T2T-CHM13v2.0': '88714466:88722707'}
TCAF2	3.40.390.80;1.10.390.30;		7	285966	{'Reference GRCh38.p14 Primary Assembly': '143620973:143730409', 'Alternate T2T-CHM13v2.0': '144980487:145010762', 'Reference GRCh38.p14 PATCHES': '244453:274728'}
MFSD2B	1.20.1250.20;		2	388931	{'Reference GRCh38.p14 Primary Assembly': '24010084:24026774', 'Alternate T2T-CHM13v2.0': '24044781:24061472'}
OOEP	3.30.1370.10;		6	441161	{'Reference GRCh38.p14 Primary Assembly': '73392931:73394610', 'Alternate T2T-CHM13v2.0': '74545252:74546594'}
GGT3P	1.10.246.130;3.60.20.40;		22	2679	{'Reference GRCh38.p14 Primary Assembly': '18773688:18791960', 'Alternate T2T-CHM13v2.0': '19147113:19165400'}
TUBAL3	1.10.287.600;3.30.1330.20;3.40.50.1440;		10	79861	{'Reference GRCh38.p14 Primary Assembly': '5393100:5404827', 'Alternate T2T-CHM13v2.0': '5396485:5408210'}
SMCHD1	3.30.565.10;	6MW7;	18	23347	{'-': '5001:154292', 'Reference GRCh38.p14 Primary Assembly': '2655725:2805016', 'Alternate T2T-CHM13v2.0': '2811307:2960648'}
CASTOR2	3.30.2130.10;		7	729438	{'Reference GRCh38.p14 Primary Assembly': '74964704:75031527', 'Alternate T2T-CHM13v2.0': '76167038:76233788'}
MSGN1	4.10.280.10;		2	343930	{'Reference GRCh38.p14 Primary Assembly': '17816459:17817797', 'Alternate T2T-CHM13v2.0': '17848193:17849531'}
LILRA5	2.60.40.10;	2D3V;	19	353514	{'Reference GRCh38.p14 Primary Assembly': '54307069:54313165', 'Alternate T2T-CHM13v2.0': '57396883:57402936', 'Reference GRCh38.p14 ALT_REF_LOCI_9': '289466:295549', 'Reference GRCh38.p14 ALT_REF_LOCI_1': '288497:294580', 'Reference GRCh38.p14 ALT_REF_LOCI_2': '288421:294511', 'Reference GRCh38.p14 ALT_REF_LOCI_8': '288602:294666'}
UNC119B	2.70.50.40;	7OK6;7OK7;	12	84747	{'Reference GRCh38.p14 Primary Assembly': '120710457:120723639', 'Alternate T2T-CHM13v2.0': '120699613:120712777'}
WTIP	2.10.110.10;		19	126374	{'Reference GRCh38.p14 Primary Assembly': '34481757:34512303', 'Alternate T2T-CHM13v2.0': '37026320:37056846', 'Reference GRCh38.p14 PATCHES': '146777:177323'}
NKX6-3	1.10.10.60;		8	157848	{'Reference GRCh38.p14 Primary Assembly': '41645176:41650816', 'Alternate T2T-CHM13v2.0': '41918806:41924449'}
METTL15	1.10.150.170;3.40.50.150;	7PNX;7PNY;7PNZ;	11	196074	{'Reference GRCh38.p14 Primary Assembly': '28108387:28532474', 'Alternate T2T-CHM13v2.0': '28248904:28667715'}
ACOD1	1.10.4100.10;3.30.1330.120;	6R6U;	13	730249	{'Reference GRCh38.p14 Primary Assembly': '76948510:76958637', 'Alternate T2T-CHM13v2.0': '76172175:76182287'}
ANXA2P2	1.10.220.10;		9	304	{'-': '17764:19073', 'Reference GRCh38.p14 Primary Assembly': '33624224:33625533', 'Alternate T2T-CHM13v2.0': '33642731:33644040'}
COL6A6	1.20.5.320;3.40.50.410;		3	131873	{'-': '5468:165333', 'Reference GRCh38.p14 Primary Assembly': '130516719:130677041', 'Alternate T2T-CHM13v2.0': '133260573:133420883'}
TTLL13	3.30.470.20;		15	440307	{'Reference GRCh38.p14 Primary Assembly': '90249555:90265476', 'Alternate T2T-CHM13v2.0': '88005549:88021466'}
USP27X	3.90.70.10;		X	389856	{'-': '4617:7691', 'Reference GRCh38.p14 Primary Assembly': '49879483:49882557', 'Alternate T2T-CHM13v2.0': '49195373:49198447'}
TUBB8B	1.10.287.600;3.30.1330.20;3.40.50.1440;		18	260334	{'Reference GRCh38.p14 Primary Assembly': '47211:73538', 'Alternate T2T-CHM13v2.0': '201005:227324'}
TTLL8	3.30.470.20;		22	164714	{'Reference GRCh38.p14 Primary Assembly': '50018574:50058297', 'Alternate T2T-CHM13v2.0': '50523479:50564967'}
MYH7B	1.10.10.820;1.20.5.340;1.20.5.370;1.20.5.4820;1.20.58.530;3.40.850.10;2.30.30.360;1.20.120.720;		20	57644	{'-': '4967:51536', 'Reference GRCh38.p14 Primary Assembly': '34955867:35002436', 'Alternate T2T-CHM13v2.0': '36676522:36723073'}
ARHGAP32	3.30.1520.10;1.10.555.10;2.30.30.40;	3IUG;	11	9743	{'Reference GRCh38.p14 Primary Assembly': '128965059:129279631', 'Alternate T2T-CHM13v2.0': '128999974:129315123'}
A2ML1	1.50.10.20;2.20.130.20;2.60.120.1540;2.60.40.1930;2.60.40.1940;6.20.50.160;2.60.40.690;2.60.40.10;	7Q1Y;7Q5Z;7Q60;7Q61;7Q62;	12	144568	{'-': '5001:59167', 'Reference GRCh38.p14 Primary Assembly': '8822620:8887458', 'Alternate T2T-CHM13v2.0': '8805909:8869473'}
CD300LB	2.60.40.10;		17	124599	{'Reference GRCh38.p14 Primary Assembly': '74521173:74531474', 'Alternate T2T-CHM13v2.0': '75411698:75421995', 'Reference GRCh38.p14 PATCHES': '97621:107922'}
CLCA1	2.60.40.10;3.40.50.410;	6PYO;6PYX;	1	1179	{'Reference GRCh38.p14 Primary Assembly': '86468926:86500258', 'Alternate T2T-CHM13v2.0': '86308942:86340287'}
ZNF785	6.10.140.140;3.30.160.60;		16	146540	{'Reference GRCh38.p14 Primary Assembly': '30578360:30585696', 'Alternate T2T-CHM13v2.0': '30965339:30972757'}
GABRR3	2.70.170.10;1.20.58.390;		3	200959	{'Reference GRCh38.p14 Primary Assembly': '97985101:98035314', 'Alternate T2T-CHM13v2.0': '100688819:100739023', '-': '-:-'}
NEURL1B	2.60.120.920;3.30.40.10;		5	54492	{'Reference GRCh38.p14 Primary Assembly': '172641262:172691539', 'Alternate T2T-CHM13v2.0': '173181428:173231747'}
CENPX	1.20.5.4980;6.10.130.30;	4DRA;4DRB;4E44;4E45;4NDY;4NE1;4NE3;4NE5;4NE6;7R5S;7XHN;7XHO;7YWX;	17	201254	{'Reference GRCh38.p14 Primary Assembly': '82018702:82022877', 'Alternate T2T-CHM13v2.0': '82885861:82890036'}
GNAT3	1.10.400.10;3.40.50.300;		7	346562	{'Reference GRCh38.p14 Primary Assembly': '80458634:80512063', 'Alternate T2T-CHM13v2.0': '81709928:81763340'}
FOXI3	1.10.10.10;		2	344167	{'Reference GRCh38.p14 Primary Assembly': '88446786:88452692', 'Alternate T2T-CHM13v2.0': '88458786:88464692'}
NOTO	1.10.10.60;		2	344022	{'Reference GRCh38.p14 Primary Assembly': '73202573:73212512', 'Alternate T2T-CHM13v2.0': '73215562:73225501'}
SMTNL1	1.10.418.10;		11	219537	{'Reference GRCh38.p14 Primary Assembly': '57537594:57550271', 'Alternate T2T-CHM13v2.0': '57487764:57500439'}
CSKMT	3.40.50.150;		11	751071	{'Reference GRCh38.p14 Primary Assembly': '62665311:62668107', 'Alternate T2T-CHM13v2.0': '62654725:62657525'}
HEPACAM2	2.60.40.10;		7	253012	{'-': '10729:48664', 'Reference GRCh38.p14 Primary Assembly': '93188533:93232284', 'Alternate T2T-CHM13v2.0': '94430592:94474338'}
PHF20L1	2.30.30.140;3.30.40.10;	2EQM;2EQU;2JTF;6L0X;6L10;6L1C;6L1F;6L1I;6L1P;	8	51105	{'Reference GRCh38.p14 Primary Assembly': '132775387:132848806', 'Alternate T2T-CHM13v2.0': '133898573:133971989'}
BECN2	6.10.250.3110;1.10.418.40;	5K7B;5K9L;8GT9;8GU7;	1	441925	{'Reference GRCh38.p14 Primary Assembly': '241957766:241959061', 'Alternate T2T-CHM13v2.0': '241369810:241371105'}
GRXCR1	3.40.30.10;		4	389207	{'-': '4447:142392', 'Reference GRCh38.p14 Primary Assembly': '42892712:43030657', 'Alternate T2T-CHM13v2.0': '42860116:42998035'}
NUDT19	3.90.79.10;		19	390916	{'Reference GRCh38.p14 Primary Assembly': '32691820:32713791', 'Alternate T2T-CHM13v2.0': '35210555:35232526'}
KCNU1	1.10.287.70;3.40.50.720;	4HPF;	8	157855	{'Reference GRCh38.p14 Primary Assembly': '36784373:36936124', 'Alternate T2T-CHM13v2.0': '37060431:37212187'}
LEUTX	1.10.10.60;		19	342900	{'Reference GRCh38.p14 Primary Assembly': '39776452:39786290', 'Alternate T2T-CHM13v2.0': '42580717:42590553', 'Reference GRCh38.p14 PATCHES': '36328:46166'}
COL6A5	3.40.50.410;		3	256076	{'-': '5001:144175', 'Reference GRCh38.p14 Primary Assembly': '130345671:130484845', 'Alternate T2T-CHM13v2.0': '133089678:133228817'}
KPNA7	1.20.5.690;1.25.10.10;		7	402569	{'-': '16302:50845', 'Reference GRCh38.p14 Primary Assembly': '99145803:99219418', 'Alternate T2T-CHM13v2.0': '100406813:100455184', 'Reference GRCh38.p14 PATCHES': '53432:129600'}
MIF4GD	1.25.40.180;		17	57409	{'Reference GRCh38.p14 Primary Assembly': '75266227:75271291', 'Alternate T2T-CHM13v2.0': '76158320:76163377'}
AHRR	4.10.280.10;3.30.450.20;	5Y7Y;	5	57491	{'-': '5000:139115', 'Reference GRCh38.p14 Primary Assembly': '321713:438284', 'Alternate T2T-CHM13v2.0': '312594:433545'}
MYO1G	1.10.10.820;1.20.5.4820;1.20.58.530;3.40.850.10;1.20.120.720;		7	64005	{'Reference GRCh38.p14 Primary Assembly': '44962661:44979014', 'Alternate T2T-CHM13v2.0': '45123007:45139359'}
ESPN	1.25.40.20;		1	83715	{'-': '4988:41156', 'Reference GRCh38.p14 Primary Assembly': '6424775:6461369', 'Alternate T2T-CHM13v2.0': '5950416:5987011'}
MYO9A	1.10.10.820;1.20.5.190;1.20.58.530;3.30.60.20;6.20.240.20;3.40.850.10;1.20.120.720;1.10.555.10;		15	4649	{'Reference GRCh38.p14 Primary Assembly': '71822290:72118599', 'Alternate T2T-CHM13v2.0': '69641240:69935335'}
VWC2L	6.20.200.20;		2	402117	{'Reference GRCh38.p14 Primary Assembly': '214411053:214578975', 'Alternate T2T-CHM13v2.0': '214895547:215063485'}
ZBTB42	3.30.160.60;		14	100128927	{'-': '4920:8531', 'Reference GRCh38.p14 Primary Assembly': '104800553:104804711', 'Alternate T2T-CHM13v2.0': '99043430:99047590'}
KDM4E	2.60.120.650;	2W2I;	11	390245	{'-': '5000:7338', 'Reference GRCh38.p14 Primary Assembly': '95025257:95027595', 'Alternate T2T-CHM13v2.0': '95032294:95034632'}
TARM1	2.60.40.10;		19	441864	{'Reference GRCh38.p14 Primary Assembly': '54069894:54081364', 'Alternate T2T-CHM13v2.0': '57148388:57159892', 'Reference GRCh38.p14 ALT_REF_LOCI_9': '44261:55746', 'Reference GRCh38.p14 ALT_REF_LOCI_1': '44261:55746', 'Reference GRCh38.p14 ALT_REF_LOCI_2': '44261:55746', 'Reference GRCh38.p14 ALT_REF_LOCI_3': '44261:55746', 'Reference GRCh38.p14 ALT_REF_LOCI_4': '44261:55746', 'Reference GRCh38.p14 ALT_REF_LOCI_5': '44261:55746', 'Reference GRCh38.p14 ALT_REF_LOCI_6': '44261:55746', 'Reference GRCh38.p14 ALT_REF_LOCI_7': '44261:55746', 'Reference GRCh38.p14 ALT_REF_LOCI_8': '44261:55746'}
KCNJ18	1.10.287.70;2.60.40.1400;		17	100134444	{'-': '5000:17089', 'Reference GRCh38.p14 Primary Assembly': '21692522:21704611', 'Alternate T2T-CHM13v2.0': '21641386:21653475'}
KBTBD13	2.120.10.80;		15	390594	{'-': '5000:8122', 'Reference GRCh38.p14 Primary Assembly': '65076745:65079947', 'Alternate T2T-CHM13v2.0': '62886163:62889365'}
AKR1B15	3.20.20.100;		7	441282	{'Reference GRCh38.p14 Primary Assembly': '134549109:134579868', 'Alternate T2T-CHM13v2.0': '135857187:135887904'}
KLRF2	3.10.100.10;	4IOP;	12	100431172	{'Reference GRCh38.p14 Primary Assembly': '9881488:9895832', 'Alternate T2T-CHM13v2.0': '9767713:9782050'}
MCIDAS	1.20.5.1180;	4BRY;	5	345643	{'-': '5000:12751', 'Reference GRCh38.p14 Primary Assembly': '55219563:55227314', 'Alternate T2T-CHM13v2.0': '56046853:56054604'}
SLCO1B3-SLCO1B7	3.30.60.30;1.20.1250.20;		12	115072896	{'Reference GRCh38.p14 Primary Assembly': '20815673:21091221', 'Alternate T2T-CHM13v2.0': '20694297:20969841'}
TGFBR3L	2.60.40.4100;		19	100507588	{'Reference GRCh38.p14 Primary Assembly': '7914829:7919096', 'Alternate T2T-CHM13v2.0': '7915784:7920051'}
IFNL4	1.20.1250.60;		19	101180976	{'-': '5000:7542', 'Reference GRCh38.p14 PATCHES': '26696:29237', 'Reference GRCh38.p14 Primary Assembly': '39246313:39248855', 'Alternate T2T-CHM13v2.0': '42050582:42053124'}
DCDC1	2.80.10.50;3.10.20.230;		11	341019	{'Reference GRCh38.p14 Primary Assembly': '30863602:31369738', 'Alternate T2T-CHM13v2.0': '30997892:31505575'}
AGPS	3.30.160.650;3.30.300.330;3.30.465.10;3.30.70.3450;3.30.43.10;		2	8540	{'-': '5030:156091', 'Reference GRCh38.p14 Primary Assembly': '177392772:177543833', 'Alternate T2T-CHM13v2.0': '177875046:178026108'}
KIF2A	3.40.850.10;	2GRY;6BBN;	5	3796	{'-': '5001:89820', 'Reference GRCh38.p14 Primary Assembly': '62306205:62391024', 'Alternate T2T-CHM13v2.0': '63125433:63210584'}
SGK1	1.10.510.10;	2R5T;3HDM;3HDN;7PUE;	6	6446	{'Reference GRCh38.p14 Primary Assembly': '134169255:134318111', 'Alternate T2T-CHM13v2.0': '135357190:135506234'}
TK2	3.40.50.300;		16	7084	{'-': '5290:47409', 'Reference GRCh38.p14 Primary Assembly': '66508002:66550290', 'Alternate T2T-CHM13v2.0': '72302295:72344585'}
FZD9	1.10.2000.10;1.20.1070.10;		7	8326	{'-': '4999:7341', 'Reference GRCh38.p14 Primary Assembly': '73433777:73436119', 'Alternate T2T-CHM13v2.0': '74634271:74636613'}
DDX39A	3.40.50.300;		19	10212	{'-': '5042:15585', 'Reference GRCh38.p14 Primary Assembly': '14408797:14419382', 'Alternate T2T-CHM13v2.0': '14535471:14546051'}
PDLIM1	2.30.42.10;2.10.110.10;	1X62;2PKT;	10	9124	{'Reference GRCh38.p14 Primary Assembly': '95237571:95291002', 'Alternate T2T-CHM13v2.0': '96116720:96170180'}
ACOT7	3.10.129.10;	2QQ2;	1	11332	{'Reference GRCh38.p14 Primary Assembly': '6264271:6393766', 'Alternate T2T-CHM13v2.0': '5789915:5919408'}
GPR25	1.20.1070.10;		1	2848	{'Reference GRCh38.p14 Primary Assembly': '200872980:200874177', 'Alternate T2T-CHM13v2.0': '200129958:200131155'}
MYO1C	1.10.10.820;1.20.5.190;1.20.58.530;6.20.240.20;3.40.850.10;1.20.120.720;	4BYF;	17	4641	{'-': '5021:33521', 'Reference GRCh38.p14 Primary Assembly': '1464185:1492685', 'Alternate T2T-CHM13v2.0': '1352908:1381442'}
MYO1F	1.10.10.820;1.20.5.4820;1.20.58.530;3.40.850.10;1.20.120.720;2.30.30.40;		19	4542	{'-': '5005:61669', 'Reference GRCh38.p14 Primary Assembly': '8520777:8577441', 'Alternate T2T-CHM13v2.0': '8508358:8564803'}
SNAP23	1.20.5.110;	1NHL;3ZUS;	15	8773	{'Reference GRCh38.p14 Primary Assembly': '42491128:42533057', 'Alternate T2T-CHM13v2.0': '40297170:40339101'}
