Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene3D	PDB
A0FGR9	reviewed	ESYT3_HUMAN	Extended synaptotagmin-3 (E-Syt3) (Chr3Syt)	ESYT3 FAM62C	Homo sapiens (Human)	886	2.60.40.150;	
A0JP26	reviewed	POTB3_HUMAN	POTE ankyrin domain family member B3	POTEB3	Homo sapiens (Human)	581	1.25.40.20;	
A0M8Q6	reviewed	IGLC7_HUMAN	Immunoglobulin lambda constant 7 (Ig lambda-7 chain C region)	IGLC7	Homo sapiens (Human)	106	2.60.40.10;	
A0MZ66	reviewed	SHOT1_HUMAN	Shootin-1 (Shootin1)	SHTN1 KIAA1598	Homo sapiens (Human)	631	1.20.5.1160;	
A0PJK1	reviewed	SC5AA_HUMAN	Sodium/mannose cotransporter SLC5A10 (Sodium/glucose cotransporter 5) (Na(+)/glucose cotransporter 5) (Solute carrier family 5 member 10)	SLC5A10 SGLT5	Homo sapiens (Human)	596	1.20.1730.10;	
A0PJY2	reviewed	FEZF1_HUMAN	Fez family zinc finger protein 1 (Zinc finger protein 312B)	FEZF1 FEZ ZNF312B	Homo sapiens (Human)	475	3.30.160.60;	
A0PK11	reviewed	CLRN2_HUMAN	Clarin-2	CLRN2	Homo sapiens (Human)	232	1.20.140.150;	
A1A4S6	reviewed	RHG10_HUMAN	Rho GTPase-activating protein 10 (GTPase regulator associated with focal adhesion kinase 2) (GRAF2) (Graf-related protein 2) (Rho-type GTPase-activating protein 10)	ARHGAP10 GRAF2	Homo sapiens (Human)	786	1.20.1270.60;2.30.29.30;1.10.555.10;2.30.30.40;	2MIO;
A1A4Y4	reviewed	IRGM_HUMAN	Immunity-related GTPase family M protein (EC 3.6.5.-) (Immunity-related GTPase family M protein 1) (Interferon-inducible protein 1) (LPS-stimulated RAW 264.7 macrophage protein 47 homolog) (LRG-47)	IRGM IFI1 IRGM1 LRG47	Homo sapiens (Human)	181	3.40.50.300;	
A1A5C7	reviewed	S22AN_HUMAN	Solute carrier family 22 member 23	SLC22A23 C6orf85	Homo sapiens (Human)	686	1.20.1250.20;	
A1KZ92	reviewed	PXDNL_HUMAN	Probable oxidoreductase PXDNL (EC 1.-.-.-) (Cardiac peroxidase) (Inactive peroxidasin-like protein) (Polysomal ribonuclease 1) (PRM1) (Vascular peroxidase 2)	PXDNL VPO2	Homo sapiens (Human)	1463	6.20.200.20;1.10.640.10;2.60.40.10;3.80.10.10;	
A1L0T0	reviewed	HACL2_HUMAN	2-hydroxyacyl-CoA lyase 2 (EC 4.1.2.-) (Acetolactate synthase-like protein) (IlvB-like protein)	ILVBL AHAS HACL2	Homo sapiens (Human)	632	3.40.50.970;3.40.50.1220;	
A1L167	reviewed	U2QL1_HUMAN	Ubiquitin-conjugating enzyme E2Q-like protein 1 (EC 2.3.2.23) (E2Q-like ubiquitin-conjugating enzyme 1)	UBE2QL1	Homo sapiens (Human)	161	3.10.110.10;	
A1L390	reviewed	PKHG3_HUMAN	Pleckstrin homology domain-containing family G member 3 (PH domain-containing family G member 3)	PLEKHG3 KIAA0599	Homo sapiens (Human)	1219	1.20.900.10;2.30.29.30;	
A1L4H1	reviewed	SRCRL_HUMAN	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D (Soluble scavenger protein with 5 SRCR domains) (SSc5D)	SSC5D	Homo sapiens (Human)	1573	3.10.250.10;	
A1L4K1	reviewed	FSD2_HUMAN	Fibronectin type III and SPRY domain-containing protein 2 (SPRY domain-containing protein 1)	FSD2 SPRYD1	Homo sapiens (Human)	749	2.60.120.920;3.30.160.60;2.60.40.10;	
A1X283	reviewed	SPD2B_HUMAN	SH3 and PX domain-containing protein 2B (Adapter protein HOFI) (Factor for adipocyte differentiation 49) (Tyrosine kinase substrate with four SH3 domains)	SH3PXD2B FAD49 KIAA1295 TKS4	Homo sapiens (Human)	911	3.30.1520.10;2.30.30.40;	
A1XBS5	reviewed	CBAR1_HUMAN	CBY1-interacting BAR domain-containing protein 1	CIBAR1 FAM92A FAM92A1	Homo sapiens (Human)	289	1.20.1270.60;	
A1Z1Q3	reviewed	MACD2_HUMAN	ADP-ribose glycohydrolase MACROD2 (MACRO domain-containing protein 2) (O-acetyl-ADP-ribose deacetylase MACROD2) (EC 3.5.1.-) ([Protein ADP-ribosylaspartate] hydrolase MACROD2) (EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase MACROD2) (EC 3.2.2.-)	MACROD2 C20orf133	Homo sapiens (Human)	425	3.40.220.10;	4IQY;6Y4Y;6Y4Z;6Y73;
A2A288	reviewed	ZC12D_HUMAN	Probable ribonuclease ZC3H12D (EC 3.1.-.-) (MCP-induced protein 4) (Transformed follicular lymphoma) (Zinc finger CCCH domain-containing protein 12D) (p34)	ZC3H12D C6orf95 MCPIP4 TFL	Homo sapiens (Human)	527	3.40.50.11980;	
A2A2Y4	reviewed	FRMD3_HUMAN	FERM domain-containing protein 3 (Band 4.1-like protein 4O) (Ovary type protein 4.1) (4.1O)	FRMD3 EPB41L4O	Homo sapiens (Human)	597	1.20.80.10;2.30.29.30;	
A2PYH4	reviewed	HFM1_HUMAN	Probable ATP-dependent DNA helicase HFM1 (EC 3.6.4.12) (SEC63 domain-containing protein 1)	HFM1 SEC3D1	Homo sapiens (Human)	1435	3.40.50.300;1.10.3380.10;1.10.10.10;	
A2RRP1	reviewed	NBAS_HUMAN	NBAS subunit of NRZ tethering complex (Neuroblastoma-amplified gene protein) (Neuroblastoma-amplified sequence)	NBAS NAG	Homo sapiens (Human)	2371	2.130.10.10;	
A2RTX5	reviewed	SYTC2_HUMAN	Threonine--tRNA ligase 2, cytoplasmic (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS) (Threonyl-tRNA synthetase protein 3)	TARS3 TARSL2	Homo sapiens (Human)	802	3.10.20.30;3.40.50.800;	
A2RU49	reviewed	HYKK_HUMAN	Hydroxylysine kinase (5-hydroxy-L-lysine kinase) (EC 2.7.1.81) (Aminoglycoside phosphotransferase domain-containing protein 1)	HYKK AGPHD1	Homo sapiens (Human)	373	3.90.1200.10;	
A2RUC4	reviewed	TYW5_HUMAN	tRNA wybutosine-synthesizing protein 5 (hTYW5) (tRNA yW-synthesizing protein 5) (EC 1.14.11.42) (tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-C(2))-hydroxylase)	TYW5 C2orf60	Homo sapiens (Human)	315	6.10.140.1470;2.60.120.650;	3AL5;3AL6;
A2RUH7	reviewed	MBPHL_HUMAN	Myosin-binding protein H-like	MYBPHL	Homo sapiens (Human)	354	2.60.40.10;	
A2VDJ0	reviewed	T131L_HUMAN	Transmembrane protein 131-like	TMEM131L KIAA0922	Homo sapiens (Human)	1609	2.60.40.10;	
A2VEC9	reviewed	SSPO_HUMAN	SCO-spondin (SCO-spondin pseudogene)	SSPOP KIAA2036 SSPO	Homo sapiens (Human)	5150	2.10.70.10;2.60.120.260;2.10.25.10;4.10.400.10;2.20.100.10;	
A3KMH1	reviewed	VWA8_HUMAN	von Willebrand factor A domain-containing protein 8 (PEX7-binding protein 2) (P7BP2)	VWA8 KIAA0564	Homo sapiens (Human)	1905	3.40.50.300;3.40.50.410;	
A4D0S4	reviewed	LAMB4_HUMAN	Laminin subunit beta-4 (Laminin beta-1-related protein)	LAMB4	Homo sapiens (Human)	1761	2.60.120.260;2.10.25.10;2.170.300.10;	
A4D1E9	reviewed	GTPBA_HUMAN	GTP-binding protein 10 (Protein obg homolog 2) (ObgH2)	GTPBP10 OBGH2 UG0751c10	Homo sapiens (Human)	387	2.70.210.12;3.40.50.300;	7OI6;
A4D1P6	reviewed	WDR91_HUMAN	WD repeat-containing protein 91	WDR91 HSPC049	Homo sapiens (Human)	747	2.130.10.10;	6VYC;8SHJ;8T55;
A4D1T9	reviewed	PRS37_HUMAN	Probable inactive serine protease 37 (Probable inactive trypsin-X2)	PRSS37 TRYX2	Homo sapiens (Human)	235	2.40.10.10;	
A4D256	reviewed	CC14C_HUMAN	Dual specificity protein phosphatase CDC14C (EC 3.1.3.16) (EC 3.1.3.48) (CDC14 cell division cycle 14 homolog C)	CDC14C CDC14B2 CDC14Bretro	Homo sapiens (Human)	447	3.90.190.10;	
A4D2B0	reviewed	MBLC1_HUMAN	Metallo-beta-lactamase domain-containing protein 1 (EC 3.1.27.-) (Endoribonuclease MBLAC1)	MBLAC1	Homo sapiens (Human)	266	3.60.15.10;	4V0H;
A4D2B8	reviewed	PM2P1_HUMAN	Putative postmeiotic segregation increased 2-like protein 1 (PMS2-related protein 2) (Postmeiotic segregation increased 2-like protein 13) (Postmeiotic segregation increased 2-like protein 6) (Postmeiotic segregation increased 2-like protein 8) (Postmeiotic segregation increased protein 3) (hPMS3) (Postmeiotic segregation increased protein 8) (Putative postmeiotic segregation increased 2 pseudogene 1)	PMS2P1 PMS2L1 PMS2L13 PMS2L6 PMS2L8 PMS3 PMS8 PMSR2	Homo sapiens (Human)	440	3.30.565.10;	
A4GXA9	reviewed	EME2_HUMAN	Probable crossover junction endonuclease EME2 (EC 3.1.22.-)	EME2	Homo sapiens (Human)	379	3.40.50.10130;1.10.150.670;	7F6L;
A5A3E0	reviewed	POTEF_HUMAN	POTE ankyrin domain family member F (ANKRD26-like family C member 1B) (Chimeric POTE-actin protein)	POTEF A26C1B	Homo sapiens (Human)	1075	3.30.420.40;1.25.40.20;	
A5D8T8	reviewed	CL18A_HUMAN	C-type lectin domain family 18 member A (Mannose receptor-like protein 2)	CLEC18A MRLP2	Homo sapiens (Human)	446	3.40.33.10;2.10.25.10;3.10.100.10;	
A5D8V6	reviewed	VP37C_HUMAN	Vacuolar protein sorting-associated protein 37C (hVps37C) (ESCRT-I complex subunit VPS37C)	VPS37C PML39	Homo sapiens (Human)	355	1.10.287.660;	
A5D8W1	reviewed	CFA69_HUMAN	Cilia- and flagella-associated protein 69	CFAP69 C7orf63	Homo sapiens (Human)	941	1.25.10.10;	
A5LHX3	reviewed	PSB11_HUMAN	Proteasome subunit beta type-11 (EC 3.4.25.1) (Proteasome subunit beta-5t)	PSMB11	Homo sapiens (Human)	300	3.60.20.10;	
A5PKW4	reviewed	PSD1_HUMAN	PH and SEC7 domain-containing protein 1 (Exchange factor for ADP-ribosylation factor guanine nucleotide factor 6) (Exchange factor for ARF6) (Exchange factor for ARF6 A) (Pleckstrin homology and SEC7 domain-containing protein 1)	PSD EFA6 EFA6A KIAA2011 PSD1 TYL	Homo sapiens (Human)	1024	1.10.1000.11;2.30.29.30;	
A5X5Y0	reviewed	5HT3E_HUMAN	5-hydroxytryptamine receptor 3E (5-HT3-E) (5-HT3E) (Serotonin receptor 3E)	HTR3E	Homo sapiens (Human)	456	2.70.170.10;1.20.58.390;	
A5YKK6	reviewed	CNOT1_HUMAN	CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1) (Negative regulator of transcription subunit 1 homolog) (NOT1H) (hNOT1)	CNOT1 CDC39 KIAA1007 NOT1 AD-005	Homo sapiens (Human)	2376	1.25.40.180;1.25.40.790;1.25.40.800;1.25.40.840;	4C0D;4CQO;4CRU;4CRV;4CRW;4CT4;4CT6;4CT7;4GMJ;4GML;4J8S;5ANR;5FU6;5FU7;5ONA;7VOI;8BFI;8FY3;
A5YM72	reviewed	CRNS1_HUMAN	Carnosine synthase 1 (EC 6.3.2.11) (ATP-grasp domain-containing protein 1)	CARNS1 ATPGD1 KIAA1394	Homo sapiens (Human)	827	3.40.50.20;3.30.470.20;	
A6BM72	reviewed	MEG11_HUMAN	Multiple epidermal growth factor-like domains protein 11 (Multiple EGF-like domains protein 11)	MEGF11 KIAA1781 UNQ1949/PRO4432	Homo sapiens (Human)	1044	2.10.25.10;2.170.300.10;	
A6NC98	reviewed	CC88B_HUMAN	Coiled-coil domain-containing protein 88B (Brain leucine zipper domain-containing protein) (Gipie) (Hook-related protein 3) (HkRP3)	CCDC88B BRLZ	Homo sapiens (Human)	1476	1.10.418.10;	
A6NCS4	reviewed	NKX26_HUMAN	Homeobox protein Nkx-2.6 (Homeobox protein NK-2 homolog F)	NKX2-6 NKX2F	Homo sapiens (Human)	301	1.10.10.60;	
A6ND36	reviewed	FA83G_HUMAN	Protein FAM83G (Protein associated with SMAD1)	FAM83G PAWS1	Homo sapiens (Human)	823	3.30.870.10;	
A6NDE4	reviewed	RBY1B_HUMAN	RNA-binding motif protein, Y chromosome, family 1 member B	RBMY1B	Homo sapiens (Human)	496	3.30.70.330;	
A6NDG6	reviewed	PGP_HUMAN	Glycerol-3-phosphate phosphatase (G3PP) (EC 3.1.3.21) (Aspartate-based ubiquitous Mg(2+)-dependent phosphatase) (AUM) (EC 3.1.3.48) (Phosphoglycolate phosphatase) (PGP)	PGP	Homo sapiens (Human)	321	3.40.50.1000;	
A6NED2	reviewed	RCCD1_HUMAN	RCC1 domain-containing protein 1	RCCD1	Homo sapiens (Human)	376	2.130.10.30;	6F4R;6F4S;6F4T;
A6NFQ2	reviewed	TCAF2_HUMAN	TRPM8 channel-associated factor 2 (TRP channel-associated factor 2)	TCAF2 FAM115C FAM139A	Homo sapiens (Human)	919	3.40.390.80;1.10.390.30;	
A6NFX1	reviewed	MFS2B_HUMAN	Sphingosine-1-phosphate transporter MFSD2B (Major facilitator superfamily domain-containing protein 2B) (hMfsd2b)	MFSD2B	Homo sapiens (Human)	504	1.20.1250.20;	
A6NGQ2	reviewed	OOEP_HUMAN	Oocyte-expressed protein homolog (KH homology domain-containing protein 2) (Oocyte- and embryo-specific protein 19) (hOEP19)	OOEP C6orf156 KHDC2 OEP19	Homo sapiens (Human)	149	3.30.1370.10;	
A6NGU5	reviewed	GGT3_HUMAN	Putative glutathione hydrolase 3 proenzyme (EC 3.4.19.13) (Gamma-glutamyltransferase 3) (Putative gamma-glutamyltranspeptidase 3) (GGT 3) (EC 2.3.2.2) [Cleaved into: Putative glutathione hydrolase 3 heavy chain; Putative glutathione hydrolase 3 light chain]	GGT3P GGT3	Homo sapiens (Human)	568	1.10.246.130;3.60.20.40;	
A6NHL2	reviewed	TBAL3_HUMAN	Tubulin alpha chain-like 3 (EC 3.6.5.-)	TUBAL3	Homo sapiens (Human)	446	1.10.287.600;3.30.1330.20;3.40.50.1440;	
A6NHR9	reviewed	SMHD1_HUMAN	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (SMC hinge domain-containing protein 1) (EC 3.6.1.-)	SMCHD1 KIAA0650	Homo sapiens (Human)	2005	3.30.565.10;	6MW7;
A6NHX0	reviewed	CAST2_HUMAN	Cytosolic arginine sensor for mTORC1 subunit 2 (Cellular arginine sensor for mTORC1 protein 2) (GATS-like protein 2)	CASTOR2 GATSL1 GATSL2	Homo sapiens (Human)	329	3.30.2130.10;	
A6NI15	reviewed	MSGN1_HUMAN	Mesogenin-1 (Paraxial mesoderm-specific mesogenin1) (pMesogenin1) (pMsgn1)	MSGN1	Homo sapiens (Human)	193	4.10.280.10;	
A6NI73	reviewed	LIRA5_HUMAN	Leukocyte immunoglobulin-like receptor subfamily A member 5 (CD85 antigen-like family member F) (Immunoglobulin-like transcript 11) (ILT-11) (Leukocyte immunoglobulin-like receptor 9) (LIR-9) (CD antigen CD85f)	LILRA5 ILT11 LILRB7 LIR9	Homo sapiens (Human)	299	2.60.40.10;	2D3V;
A6NIH7	reviewed	U119B_HUMAN	Protein unc-119 homolog B	UNC119B	Homo sapiens (Human)	251	2.70.50.40;	7OK6;7OK7;
A6NIX2	reviewed	WTIP_HUMAN	Wilms tumor protein 1-interacting protein (WT1-interacting protein)	WTIP	Homo sapiens (Human)	430	2.10.110.10;	
A6NJ46	reviewed	NKX63_HUMAN	Homeobox protein Nkx-6.3	NKX6-3	Homo sapiens (Human)	265	1.10.10.60;	
A6NJ78	reviewed	MET15_HUMAN	12S rRNA N4-methylcytidine (m4C) methyltransferase (12S rRNA m4C methyltransferase) (EC 2.1.1.-) (Methyltransferase 5 domain-containing protein 1) (Methyltransferase-like protein 15)	METTL15 METT5D1	Homo sapiens (Human)	407	1.10.150.170;3.40.50.150;	7PNX;7PNY;7PNZ;
A6NK06	reviewed	IRG1_HUMAN	Cis-aconitate decarboxylase (CAD) (EC 4.1.1.6) (Aconitate decarboxylase) (Aconitate decarboxylase 1) (Cis-aconitic acid decarboxylase) (Immune-responsive gene 1 protein)	ACOD1 IRG1	Homo sapiens (Human)	481	1.10.4100.10;3.30.1330.120;	6R6U;
A6NMY6	reviewed	AXA2L_HUMAN	Putative annexin A2-like protein (Annexin A2 pseudogene 2) (Lipocortin II pseudogene)	ANXA2P2 ANX2L2 ANX2P2 LPC2B	Homo sapiens (Human)	339	1.10.220.10;	
A6NMZ7	reviewed	CO6A6_HUMAN	Collagen alpha-6(VI) chain	COL6A6	Homo sapiens (Human)	2263	1.20.5.320;3.40.50.410;	
A6NNM8	reviewed	TTL13_HUMAN	Tubulin polyglutamylase TTLL13 (EC 6.3.2.-) (Tubulin tyrosine ligase like 13) (Tubulin tyrosine ligase-like family member 13 pseudogene) (Tubulin--tyrosine ligase-like protein 13)	TTLL13 TTLL13P	Homo sapiens (Human)	815	3.30.470.20;	
A6NNY8	reviewed	UBP27_HUMAN	Ubiquitin carboxyl-terminal hydrolase 27 (EC 3.4.19.12) (Deubiquitinating enzyme 27) (Ubiquitin carboxyl-terminal hydrolase 22-like) (Ubiquitin thioesterase 27) (Ubiquitin-specific-processing protease 27) (X-linked ubiquitin carboxyl-terminal hydrolase 27)	USP27X USP22L USP27	Homo sapiens (Human)	438	3.90.70.10;	
A6NNZ2	reviewed	TBB8B_HUMAN	Tubulin beta 8B	TUBB8B	Homo sapiens (Human)	444	1.10.287.600;3.30.1330.20;3.40.50.1440;	
A6PVC2	reviewed	TTLL8_HUMAN	Protein monoglycylase TTLL8 (EC 6.3.2.-) (Tubulin--tyrosine ligase-like protein 8)	TTLL8	Homo sapiens (Human)	850	3.30.470.20;	
A7E2Y1	reviewed	MYH7B_HUMAN	Myosin-7B (Antigen MLAA-21) (Myosin cardiac muscle beta chain) (Myosin heavy chain 7B, cardiac muscle beta isoform) (Slow A MYH14)	MYH7B KIAA1512	Homo sapiens (Human)	1983	1.10.10.820;1.20.5.340;1.20.5.370;1.20.5.4820;1.20.58.530;3.40.850.10;2.30.30.360;1.20.120.720;	
A7KAX9	reviewed	RHG32_HUMAN	Rho GTPase-activating protein 32 (Brain-specific Rho GTPase-activating protein) (GAB-associated Cdc42/Rac GTPase-activating protein) (GC-GAP) (GTPase regulator interacting with TrkA) (Rho-type GTPase-activating protein 32) (Rho/Cdc42/Rac GTPase-activating protein RICS) (RhoGAP involved in the beta-catenin-N-cadherin and NMDA receptor signaling) (p200RhoGAP) (p250GAP)	ARHGAP32 GRIT KIAA0712 RICS	Homo sapiens (Human)	2087	3.30.1520.10;1.10.555.10;2.30.30.40;	3IUG;
A8K2U0	reviewed	A2ML1_HUMAN	Alpha-2-macroglobulin-like protein 1 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 9)	A2ML1 CPAMD9	Homo sapiens (Human)	1454	1.50.10.20;2.20.130.20;2.60.120.1540;2.60.40.1930;2.60.40.1940;6.20.50.160;2.60.40.690;2.60.40.10;	7Q1Y;7Q5Z;7Q60;7Q61;7Q62;
A8K4G0	reviewed	CLM7_HUMAN	CMRF35-like molecule 7 (CLM-7) (CD300 antigen-like family member B) (CMRF35-A2) (Immune receptor expressed on myeloid cells 3) (IREM-3) (Leukocyte mono-Ig-like receptor 5) (Triggering receptor expressed on myeloid cells 5) (TREM-5) (CD antigen CD300b)	CD300LB CD300B CLM7 CMRF35A2 IREM3 LMIR5 TREM5 UNQ2530/PRO6029	Homo sapiens (Human)	201	2.60.40.10;	
A8K7I4	reviewed	CLCA1_HUMAN	Calcium-activated chloride channel regulator 1 (EC 3.4.-.-) (Calcium-activated chloride channel family member 1) (hCLCA1) (Calcium-activated chloride channel protein 1) (CaCC-1) (hCaCC-1)	CLCA1 CACC1	Homo sapiens (Human)	914	2.60.40.10;3.40.50.410;	6PYO;6PYX;
A8K8V0	reviewed	ZN785_HUMAN	Zinc finger protein 785	ZNF785	Homo sapiens (Human)	405	6.10.140.140;3.30.160.60;	
A8MPY1	reviewed	GBRR3_HUMAN	Gamma-aminobutyric acid receptor subunit rho-3 (GABA(A) receptor subunit rho-3) (GABA(C) receptor)	GABRR3	Homo sapiens (Human)	467	2.70.170.10;1.20.58.390;	
A8MQ27	reviewed	NEU1B_HUMAN	E3 ubiquitin-protein ligase NEURL1B (EC 2.3.2.27) (Neuralized-2) (NEUR2) (Neuralized-like protein 1B) (Neuralized-like protein 3) (RING-type E3 ubiquitin transferase NEURL1B)	NEURL1B NEURL3	Homo sapiens (Human)	555	2.60.120.920;3.30.40.10;	
A8MT69	reviewed	CENPX_HUMAN	Centromere protein X (CENP-X) (FANCM-associated histone fold protein 2) (FANCM-interacting histone fold protein 2) (Fanconi anemia-associated polypeptide of 10 kDa) (Retinoic acid-inducible gene D9 protein homolog) (Stimulated by retinoic acid gene 13 protein homolog)	CENPX FAAP10 MHF2 STRA13	Homo sapiens (Human)	81	1.20.5.4980;6.10.130.30;	4DRA;4DRB;4E44;4E45;4NDY;4NE1;4NE3;4NE5;4NE6;7R5S;7XHN;7XHO;7YWX;
A8MTJ3	reviewed	GNAT3_HUMAN	Guanine nucleotide-binding protein G(t) subunit alpha-3 (Gustducin alpha-3 chain)	GNAT3	Homo sapiens (Human)	354	1.10.400.10;3.40.50.300;	
A8MTJ6	reviewed	FOXI3_HUMAN	Forkhead box protein I3	FOXI3	Homo sapiens (Human)	420	1.10.10.10;	
A8MTQ0	reviewed	NOTO_HUMAN	Homeobox protein notochord	NOTO	Homo sapiens (Human)	251	1.10.10.60;	
A8MU46	reviewed	SMTL1_HUMAN	Smoothelin-like protein 1	SMTNL1	Homo sapiens (Human)	494	1.10.418.10;	
A8MUP2	reviewed	CSKMT_HUMAN	Citrate synthase-lysine N-methyltransferase CSKMT, mitochondrial (CS-KMT) (EC 2.1.1.-) (Methyltransferase-like protein 12, mitochondrial)	CSKMT METTL12	Homo sapiens (Human)	240	3.40.50.150;	
A8MVW5	reviewed	HECA2_HUMAN	HEPACAM family member 2 (Mitotic kinetics regulator)	HEPACAM2 MIKI UNQ305/PRO346	Homo sapiens (Human)	462	2.60.40.10;	
A8MW92	reviewed	P20L1_HUMAN	PHD finger protein 20-like protein 1	PHF20L1 CGI-72	Homo sapiens (Human)	1017	2.30.30.140;3.30.40.10;	2EQM;2EQU;2JTF;6L0X;6L10;6L1C;6L1F;6L1I;6L1P;
A8MW95	reviewed	BECN2_HUMAN	Beclin-2 (Beclin-1 autophagy-related pseudogene 1) (Beclin-1-like protein 1)	BECN2 BECN1L1 BECN1P1	Homo sapiens (Human)	431	6.10.250.3110;1.10.418.40;	5K7B;5K9L;8GT9;8GU7;
A8MXD5	reviewed	GRCR1_HUMAN	Glutaredoxin domain-containing cysteine-rich protein 1	GRXCR1 DFNB25	Homo sapiens (Human)	290	3.40.30.10;	
A8MXV4	reviewed	NUD19_HUMAN	Acyl-coenzyme A diphosphatase NUDT19 (EC 3.6.1.-) (Nucleoside diphosphate-linked moiety X motif 19) (Nudix motif 19)	NUDT19	Homo sapiens (Human)	375	3.90.79.10;	
A8MYU2	reviewed	KCNU1_HUMAN	Potassium channel subfamily U member 1 (Calcium-activated potassium channel subunit alpha-3) (Calcium-activated potassium channel, subfamily M subunit alpha-3) (KCa5) (Slowpoke homolog 3)	KCNU1 KCNMA3 KCNMC1 SLO3	Homo sapiens (Human)	1149	1.10.287.70;3.40.50.720;	4HPF;
A8MZ59	reviewed	LEUTX_HUMAN	Paired-like homeodomain transcription factor LEUTX (Leucine-twenty homeobox) (Paired-like homeobox transcription factor LEUTX) (PRD-LIKE homeobox transcription factor LEUTX)	LEUTX	Homo sapiens (Human)	198	1.10.10.60;	
A8TX70	reviewed	CO6A5_HUMAN	Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain) (von Willebrand factor A domain-containing protein 4)	COL6A5 COL29A1 VWA4	Homo sapiens (Human)	2615	3.40.50.410;	
A9QM74	reviewed	IMA8_HUMAN	Importin subunit alpha-8 (Karyopherin subunit alpha-7)	KPNA7	Homo sapiens (Human)	516	1.20.5.690;1.25.10.10;	
A9UHW6	reviewed	MI4GD_HUMAN	MIF4G domain-containing protein (SLBP-interacting protein 1) (hSLIP1)	MIF4GD SLIP1	Homo sapiens (Human)	222	1.25.40.180;	
A9YTQ3	reviewed	AHRR_HUMAN	Aryl hydrocarbon receptor repressor (AhR repressor) (AhRR) (Class E basic helix-loop-helix protein 77) (bHLHe77)	AHRR BHLHE77 KIAA1234	Homo sapiens (Human)	701	4.10.280.10;3.30.450.20;	5Y7Y;
B0I1T2	reviewed	MYO1G_HUMAN	Unconventional myosin-Ig [Cleaved into: Minor histocompatibility antigen HA-2 (mHag HA-2)]	MYO1G HA2	Homo sapiens (Human)	1018	1.10.10.820;1.20.5.4820;1.20.58.530;3.40.850.10;1.20.120.720;	
B1AK53	reviewed	ESPN_HUMAN	Espin (Autosomal recessive deafness type 36 protein) (Ectoplasmic specialization protein)	ESPN DFNB36 LP2654	Homo sapiens (Human)	854	1.25.40.20;	
B2RTY4	reviewed	MYO9A_HUMAN	Unconventional myosin-IXa (Unconventional myosin-9a)	MYO9A MYR7	Homo sapiens (Human)	2548	1.10.10.820;1.20.5.190;1.20.58.530;3.30.60.20;6.20.240.20;3.40.850.10;1.20.120.720;1.10.555.10;	
